Query	Reference	Distance
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	0.015526
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	0.020014
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_015669665.1_ASM1566966v1_genomic.fna.gz	0.026752
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	0.000548
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_013299655.1_ASM1329965v1_genomic.fna.gz	0.014967
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_013300655.1_ASM1330065v1_genomic.fna.gz	0.015515
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_028321385.1_ASM2832138v1_genomic.fna.gz	0.025840
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	0.015512
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	0.016361
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	0.000000
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_013300675.1_ASM1330067v1_genomic.fna.gz	0.015515
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/Agathobacter_rectalis_ref.fna.gz	0.019984
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_013299645.1_ASM1329964v1_genomic.fna.gz	0.014978
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_013299675.1_ASM1329967v1_genomic.fna.gz	0.015845
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_013300505.1_ASM1330050v1_genomic.fna.gz	0.015508
genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	genome_hypermash_test/GCF_028322185.1_ASM2832218v1_genomic.fna.gz	0.000622
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	0.000000
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	0.019620
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_015669665.1_ASM1566966v1_genomic.fna.gz	0.026403
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	0.015363
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_013299655.1_ASM1329965v1_genomic.fna.gz	0.000651
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_013300655.1_ASM1330065v1_genomic.fna.gz	0.000064
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_028321385.1_ASM2832138v1_genomic.fna.gz	0.026131
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	0.000066
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	0.000936
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	0.015526
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_013300675.1_ASM1330067v1_genomic.fna.gz	0.000060
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/Agathobacter_rectalis_ref.fna.gz	0.021495
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_013299645.1_ASM1329964v1_genomic.fna.gz	0.000661
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_013299675.1_ASM1329967v1_genomic.fna.gz	0.001509
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_013300505.1_ASM1330050v1_genomic.fna.gz	0.000071
genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	genome_hypermash_test/GCF_028322185.1_ASM2832218v1_genomic.fna.gz	0.015323
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	0.000066
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	0.019624
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_015669665.1_ASM1566966v1_genomic.fna.gz	0.026376
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	0.015334
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_013299655.1_ASM1329965v1_genomic.fna.gz	0.000618
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_013300655.1_ASM1330065v1_genomic.fna.gz	0.000073
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_028321385.1_ASM2832138v1_genomic.fna.gz	0.026131
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	0.000000
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	0.000918
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	0.015512
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_013300675.1_ASM1330067v1_genomic.fna.gz	0.000043
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/Agathobacter_rectalis_ref.fna.gz	0.021496
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_013299645.1_ASM1329964v1_genomic.fna.gz	0.000641
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_013299675.1_ASM1329967v1_genomic.fna.gz	0.001502
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_013300505.1_ASM1330050v1_genomic.fna.gz	0.000050
genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	genome_hypermash_test/GCF_028322185.1_ASM2832218v1_genomic.fna.gz	0.015302
genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	0.000936
genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	0.020471
genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	genome_hypermash_test/GCF_015669665.1_ASM1566966v1_genomic.fna.gz	0.027106
genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	0.016170
genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	genome_hypermash_test/GCF_013299655.1_ASM1329965v1_genomic.fna.gz	0.001498
genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	genome_hypermash_test/GCF_013300655.1_ASM1330065v1_genomic.fna.gz	0.000936
genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	genome_hypermash_test/GCF_028321385.1_ASM2832138v1_genomic.fna.gz	0.026838
genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	0.000918
genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	0.000000
genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	0.016361
genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	genome_hypermash_test/GCF_013300675.1_ASM1330067v1_genomic.fna.gz	0.000928
