Query	Reference	Distance
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/Agathobacter_rectalis_ref.fna.gz	0.023858
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_013299655.1_ASM1329965v1_genomic.fna.gz	0.019447
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	0.020001
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_028322185.1_ASM2832218v1_genomic.fna.gz	0.020262
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	0.000000
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	0.020275
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	0.020513
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_013299675.1_ASM1329967v1_genomic.fna.gz	0.020202
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_013299645.1_ASM1329964v1_genomic.fna.gz	0.019464
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_013300505.1_ASM1330050v1_genomic.fna.gz	0.019997
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_013300675.1_ASM1330067v1_genomic.fna.gz	0.020018
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_028321385.1_ASM2832138v1_genomic.fna.gz	0.026708
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_013300655.1_ASM1330065v1_genomic.fna.gz	0.019984
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_013300625.1_ASM1330062v1_genomic.fna.gz	0.019997
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_015669665.1_ASM1566966v1_genomic.fna.gz	0.026873
genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	genome_hypermash_test/GCF_013300575.1_ASM1330057v1_genomic.fna.gz	0.020771
genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	genome_hypermash_test/Agathobacter_rectalis_ref.fna.gz	0.020504
genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	genome_hypermash_test/GCF_013299655.1_ASM1329965v1_genomic.fna.gz	0.014914
genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	genome_hypermash_test/GCF_013300555.1_ASM1330055v1_genomic.fna.gz	0.015476
genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	genome_hypermash_test/GCF_028322185.1_ASM2832218v1_genomic.fna.gz	0.000382
genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	genome_hypermash_test/GCF_015551295.1_ASM1555129v1_genomic.fna.gz	0.020275
genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	0.000000
genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	genome_hypermash_test/GCF_028322315.1_ASM2832231v1_genomic.fna.gz	0.000557
genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	genome_hypermash_test/GCF_013299675.1_ASM1329967v1_genomic.fna.gz	0.015672
genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	genome_hypermash_test/GCF_013299645.1_ASM1329964v1_genomic.fna.gz	0.014910
genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	genome_hypermash_test/GCF_013300505.1_ASM1330050v1_genomic.fna.gz	0.015476
genome_hypermash_test/GCF_015553565.1_ASM1555356v1_genomic.fna.gz	genome_hypermash_test/GCF_013300675.1_ASM1330067v1_genomic.fna.gz	0.015501
